codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2546,Concello de Gondomar,Campo de fútbol AS CERCAS (cantina),GONDOMAR,PONTEVEDRA,42.109,-8.7627,En instalaciones deportivas
2547,Concello de Gondomar,Campo de fútbol AS GAIANDAS (vestuarios),GONDOMAR,PONTEVEDRA,42.1135,-8.7652,En instalaciones deportivas
2552,Conservas Antonio Alonso S. A.,Conservas Antonio Alonso (en oficinas),BUEU,PONTEVEDRA,42.3084,-8.7919,En empresa privada
2553,Conservas Antonio Alonso S. A.,Conservas Antonio Alonso (en enfermería),BUEU,PONTEVEDRA,42.3083,-8.7919,En empresa privada
2554,Conservas Antonio Alonso S. A.,Conservas Antonio Alonso (en almacén),BUEU,PONTEVEDRA,42.308,-8.7902,En empresa privada
2560,Concello de Vilagarcía de Arousa,BASE de PROTECCION CIVIL,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5883,-8.7644,Protección civil (no amb.)
2565,Abanca Corporación Bancaria,Oficina ABANCA (planta baja),VIGO,PONTEVEDRA,42.2381,-8.7172,En empresa privada
2577,XUNTA DE GALICIA,Edificio Administrativo Xunta (entrada principal),VIGO,PONTEVEDRA,42.2396,-8.7212,Administraciones o instituciones públicas
2585,SATEC S. A.,SATEC S. A. (en sala de primeros auxilios),VIGO,PONTEVEDRA,42.1777,-8.7061,En empresa privada
2587,INASUS S. L.,INASUS S. L. (oficinas),LALIN,PONTEVEDRA,42.6729,-8.1519,En empresa privada
2588,INASUS S. L.,INASUS S. L. (nave de producción),LALIN,PONTEVEDRA,42.673,-8.1519,En empresa privada
2670,ASTILLEROS NODOSA S. L.,Astilleros NODOSA S. L. (en garita entrada),MARIN,PONTEVEDRA,42.3941,-8.6949,En empresa privada
2671,GONVAUTO GALICIA S. A.,GONVAUTO GALICIA S. A. (EDIFICIO DE OFICINAS),MARIN,PONTEVEDRA,42.4039,-8.689,En empresa privada
2675,Fundación Galicia Obra Social ABANCA,Sede A FUNDACIÓN (planta baja),PONTEVEDRA,PONTEVEDRA,42.4291,-8.6458,En empresa privada
2680,Balneario ACUÑA,BALNEARIO ACUÑA (recepción),CALDAS DE REIS,PONTEVEDRA,42.6036,-8.6425,En empresa privada
2682,LIMPIEZAS CLECE S.A. VIGO,Limpiezas CLECE (oficinas),VIGO,PONTEVEDRA,42.2328,-8.7226,En empresa privada
2683,Escuela Infantil Bamby,Escuela Infantil Bamby,PONTEVEDRA,PONTEVEDRA,42.4294,-8.6499,En empresa privada
2684,Asociación Escola Rosalía de Castro,Escola Rosalía de Castro (en el pabellón deportivo),VIGO,PONTEVEDRA,42.2099,-8.6938,En centros docentes
2685,CEIP Alfonso D. Rodríguez Castelao,CEIP Alfonso D. Rodríguez Castelao,VIGO,PONTEVEDRA,42.2088,-8.7602,En centros docentes
2688,Centro Deportivo BeOne Campolongo S. L.,Centro Deportivo BeOne Campolongo S. L.,PONTEVEDRA,PONTEVEDRA,42.4272,-8.6444,En instalaciones deportivas
2712,Club Náutico de Portonovo,Edificio de Servicios del Club Náutico Portonovo (en oficina de marinería),SANXENXO,PONTEVEDRA,42.3988,-8.8269,En instalaciones deportivas
2714,Grupo Nueva PESCANOVA,Edificio Pescanova (servicio médico),REDONDELA,PONTEVEDRA,42.2743,-8.6696,En empresa privada
2715,Grupo Nueva PESCANOVA,Edificio Pescanova (pasillo central acceso a vestuarios),REDONDELA,PONTEVEDRA,42.2744,-8.6693,En empresa privada
2718,Colegio MIRALBA (Jesuitinas),Colegio Jesuitanas Miralba (entrada principal),VIGO,PONTEVEDRA,42.2215,-8.7289,En centros docentes
2719,Colegio MIRALBA (Jesuitinas),Colegio Jesuitinas Miralba (acceso a vestuarios),VIGO,PONTEVEDRA,42.2213,-8.7288,En centros docentes
2727,CEIP Plurilingüe Frián-Teis,CEIP Plurilingüe Frián-Teis,VIGO,PONTEVEDRA,42.2416,-8.6944,En centros docentes
2729,PISCINA MUNICIPAL CALDAS DE REIS,Piscina municipal de Caldas de Reis,CALDAS DE REIS,PONTEVEDRA,42.6036,-8.6361,En piscina pública
2741,Universidad de Vigo,ESTACIÓN DE CIENCIAS MARINAS DE TORALLA (CORUXO),VIGO,PONTEVEDRA,42.202,-8.8006,En centros docentes
2743,Delegación Territorial de Pontevedra - Xefatura Territorial C. Presidencia,Delegación Territorial Pontevedra - Xunta de Galicia,PONTEVEDRA,PONTEVEDRA,42.4244,-8.6444,Administraciones o instituciones públicas
2746,RESIDENCIA BALLESOL,RESIDENCIA BALLESOL POIO (VESTÍTUBO ACCESO A COMEDOR),POIO,PONTEVEDRA,42.4336,-8.6583,En empresa privada
2749,Concello de Pontevedra,Campo de fútbol Xunqueira II,PONTEVEDRA,PONTEVEDRA,42.4382,-8.6361,En instalaciones deportivas
2764,Concello de Vilagarcía de Arousa,Praia Campanario,VILAGARCIA DE AROUSA,PONTEVEDRA,42.6333,-8.7611,Protección civil (no amb.)
2765,Concello de Vilagarcía de Arousa,Praia Preguntoiro,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5877,-8.7905,En playa
2766,Concello de Vilagarcía de Arousa,Praia Concha-Compostela,VILAGARCIA DE AROUSA,PONTEVEDRA,42.6047,-8.7677,En playa
2767,Concello de Vilagarcía de Arousa,Campo de Fútbol de Vilaxoán,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5886,-8.7852,En instalaciones deportivas
2768,Concello de Vilagarcía de Arousa,Pavillón Deportivo Castelao,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5938,-8.7663,En instalaciones deportivas
2769,Concello de Vilagarcía de Arousa,Biblioteca Municipal,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5969,-8.7647,Administraciones o instituciones públicas
